epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5933.89,1.38404,1.55859,1.27975,0.3456,0.25749,0.2489,0.14374,1.82467,2.29971,1.65347,0.000494885,0.000494885,0.000494885
43,6074.39,1.38931,1.53932,1.26732,0.64808,0.19243,0.24669,0.13491,1.79168,2.32291,1.63458,0.000486639,0.000486639,0.000486639
44,6213.7,1.36342,1.48158,1.26857,0.50499,0.23078,0.25463,0.15931,1.8305,2.26512,1.65476,0.000478392,0.000478392,0.000478392
45,6356.8,1.3507,1.46109,1.23529,0.48622,0.22572,0.24951,0.13351,1.88214,2.2589,1.6724,0.000470145,0.000470145,0.000470145
46,6496.35,1.34042,1.43107,1.2519,0.61103,0.21443,0.26159,0.15213,1.809,2.39145,1.60108,0.000461898,0.000461898,0.000461898
47,6635.49,1.33339,1.42937,1.24033,0.43049,0.22542,0.2792,0.15062,1.80745,2.29989,1.62999,0.000453652,0.000453652,0.000453652
48,6774.51,1.3289,1.40516,1.2384,0.37014,0.21857,0.23895,0.13284,1.81457,2.2824,1.64874,0.000445405,0.000445405,0.000445405
49,6913.46,1.33631,1.38593,1.24085,0.33552,0.21785,0.22402,0.12761,1.79169,2.37255,1.61653,0.000437158,0.000437158,0.000437158
50,7053.12,1.30978,1.35883,1.22199,0.74923,0.1653,0.20629,0.12367,1.81944,2.32964,1.6504,0.000428912,0.000428912,0.000428912
51,7192.99,1.32416,1.36887,1.22329,0.49355,0.24125,0.25079,0.15042,1.81371,2.26958,1.62692,0.000420665,0.000420665,0.000420665
52,7332.32,1.2914,1.31605,1.22544,0.4771,0.21895,0.24206,0.14052,1.83249,2.31712,1.69477,0.000412418,0.000412418,0.000412418
53,7473.21,1.29607,1.33169,1.20806,0.47036,0.24087,0.25153,0.1504,1.80725,2.22693,1.65843,0.000404172,0.000404172,0.000404172
54,7611.95,1.29316,1.34128,1.2187,0.4628,0.18157,0.22279,0.13106,1.90774,2.37223,1.68064,0.000395925,0.000395925,0.000395925
55,7750.82,1.28727,1.29331,1.21329,0.59831,0.22037,0.22497,0.1335,1.87632,2.32267,1.69921,0.000387678,0.000387678,0.000387678
56,7889.83,1.26778,1.26334,1.20552,0.59188,0.21512,0.27178,0.15306,1.80122,2.26407,1.61677,0.000379431,0.000379431,0.000379431
57,8028.39,1.27219,1.27065,1.21092,0.37486,0.24475,0.23252,0.14333,1.81746,2.29652,1.65121,0.000371185,0.000371185,0.000371185
58,8165.92,1.24121,1.23185,1.18044,0.31004,0.23779,0.24435,0.13834,1.8592,2.26782,1.67382,0.000362938,0.000362938,0.000362938
59,8304.99,1.26279,1.2429,1.21022,0.56866,0.19223,0.2316,0.13347,1.87612,2.36389,1.69961,0.000354691,0.000354691,0.000354691
60,8442.33,1.23789,1.20515,1.19121,0.48953,0.26299,0.27139,0.14865,1.80429,2.29483,1.63135,0.000346445,0.000346445,0.000346445
61,8581.77,1.2473,1.19549,1.18636,0.52904,0.21476,0.23711,0.13669,1.8514,2.33049,1.68873,0.000338198,0.000338198,0.000338198
62,8723.32,1.20145,1.17819,1.16563,0.55226,0.22655,0.24446,0.14506,1.81972,2.30666,1.65966,0.000329951,0.000329951,0.000329951
63,8863.89,1.21236,1.16444,1.16849,0.36341,0.18267,0.21628,0.12974,1.80144,2.3801,1.64385,0.000321705,0.000321705,0.000321705
64,9004.89,1.23448,1.20835,1.18305,0.43478,0.22985,0.25957,0.14866,1.76514,2.25984,1.61959,0.000313458,0.000313458,0.000313458
