epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,380.652,1.3525,1.43813,1.24922,0.50886,0.21738,0.24309,0.13453,1.82152,2.1992,1.60577,0.000494885,0.000494885,0.000494885
43,389.611,1.34778,1.42829,1.25303,0.47082,0.27156,0.25844,0.14405,1.84145,2.25655,1.63065,0.000486639,0.000486639,0.000486639
44,398.746,1.32041,1.40138,1.25443,0.5178,0.2671,0.27858,0.15772,1.85642,2.21585,1.66121,0.000478392,0.000478392,0.000478392
45,407.79,1.35271,1.41895,1.2361,0.77499,0.19766,0.26258,0.14214,1.87878,2.1514,1.66084,0.000470145,0.000470145,0.000470145
46,416.953,1.32826,1.40602,1.24835,0.6105,0.20153,0.22615,0.127,1.9496,2.342,1.67348,0.000461898,0.000461898,0.000461898
47,427.852,1.29796,1.35269,1.21375,0.55866,0.25675,0.26969,0.15709,1.81785,2.28938,1.58969,0.000453652,0.000453652,0.000453652
48,437.786,1.30733,1.34941,1.22355,0.48581,0.24575,0.27237,0.1561,1.78467,2.28371,1.59427,0.000445405,0.000445405,0.000445405
49,447.345,1.30665,1.32157,1.22605,0.53593,0.22512,0.25038,0.14831,1.81972,2.3441,1.5996,0.000437158,0.000437158,0.000437158
50,458.538,1.31683,1.35083,1.2386,0.66652,0.2083,0.25838,0.14916,1.88004,2.30372,1.66446,0.000428912,0.000428912,0.000428912
51,467.864,1.29524,1.30787,1.21903,0.50784,0.24646,0.23492,0.13977,1.81599,2.29631,1.61648,0.000420665,0.000420665,0.000420665
52,478.488,1.29726,1.30442,1.21038,0.28169,0.24351,0.22883,0.13476,1.84382,2.28211,1.63312,0.000412418,0.000412418,0.000412418
53,488.003,1.27469,1.2498,1.19434,0.51848,0.25419,0.26538,0.15022,1.85323,2.37681,1.63298,0.000404172,0.000404172,0.000404172
54,499.188,1.27839,1.22992,1.19904,0.56109,0.25645,0.27788,0.1613,1.84891,2.36901,1.67781,0.000395925,0.000395925,0.000395925
